src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flags,label
10.227.15.151,10.41.86.246,36303,123,6,4083,FIN,1
10.107.234.183,10.1.87.204,5606,53,6,1807,ACK,0
10.167.181.130,10.81.190.159,48861,3389,6,1834,ACK,1
10.224.146.6,10.93.167.11,40871,143,6,3720,RST,1
10.88.133.73,10.7.110.4,42656,53,6,2325,URG,0
10.146.77.170,10.155.11.22,41175,23,6,1432,FIN,0
10.180.72.30,10.22.244.88,53882,53,17,4878,URG,0
10.228.235.195,10.252.59.113,62127,25,17,1363,RST,0
10.26.56.27,10.184.20.51,34108,25,6,524,ACK,1
10.134.99.66,10.50.40.237,25924,445,17,4285,FIN,0
10.94.53.211,10.140.55.230,32678,143,6,2422,PSH,0
10.97.13.112,10.193.193.106,26951,143,6,3267,URG,0
10.62.104.190,10.1.223.148,32670,25,17,4775,URG,0
10.171.228.40,10.177.171.144,36327,21,6,1000,FIN,0
10.172.138.247,10.249.99.66,57326,123,6,4009,SYN,1
10.15.230.52,10.232.223.49,7815,21,17,2834,PSH,0
10.47.92.49,10.146.144.214,64250,3389,17,3256,FIN,1
10.210.73.46,10.227.54.106,8089,110,17,1247,SYN,0
10.43.96.237,10.131.253.97,43890,22,17,2957,RST,0
10.172.153.217,10.187.162.109,37423,3389,6,3366,PSH,0
10.26.41.216,10.142.209.26,17918,445,6,2701,URG,0
10.242.33.85,10.119.39.7,31361,53,17,274,FIN,0
10.54.179.146,10.156.121.164,21515,22,6,1885,URG,0
10.30.15.243,10.244.225.173,45543,22,17,1297,RST,1
10.99.66.213,10.157.60.66,26935,25,17,2282,SYN,1
10.96.226.138,10.117.4.199,30173,143,17,4830,FIN,0
10.177.89.252,10.134.98.30,6591,110,6,4982,ACK,0
10.169.52.34,10.11.247.208,64138,443,17,1995,UDP,1
10.207.107.163,10.184.29.177,51028,21,6,3495,UDP,0
10.101.189.18,10.95.110.95,51895,8080,17,279,PSH,0
10.188.240.219,10.240.11.69,32065,53,6,1356,SYN,0
10.4.214.126,10.95.64.21,13758,20,6,3432,ACK,1
10.193.151.62,10.113.252.16,46190,445,6,1621,SYN,0
10.199.224.243,10.159.156.126,48653,53,17,3758,PSH,0
10.12.185.25,10.125.209.230,9194,80,6,1544,UDP,1
10.221.254.17,10.232.100.96,43644,3389,6,2765,UDP,0
10.86.126.7,10.38.119.155,64088,110,17,165,RST,1
10.55.217.22,10.28.192.196,30528,143,6,1198,RST,0
10.242.148.120,10.161.209.0,65063,3389,17,716,PSH,1
10.25.47.100,10.174.150.108,3651,143,6,4635,UDP,0
10.109.160.42,10.227.241.239,60569,110,6,1205,UDP,0
10.65.46.31,10.150.100.205,36708,21,6,2357,RST,1
10.244.104.121,10.48.41.50,15898,123,6,2284,RST,0
10.145.158.217,10.239.48.61,60964,25,17,3961,ACK,0
10.48.248.247,10.138.128.21,14244,143,6,910,PSH,1
10.149.45.19,10.113.120.225,2248,3389,17,4947,URG,0
10.177.236.113,10.85.53.129,24446,80,17,3735,URG,0
10.156.40.57,10.123.34.87,20539,80,17,2522,URG,1
10.75.22.239,10.112.33.110,27304,22,17,959,RST,0
10.82.174.170,10.77.85.24,28538,8080,6,1309,URG,1
10.242.33.234,10.7.174.203,63863,80,6,809,FIN,0
10.24.74.132,10.19.232.55,55594,123,6,2331,PSH,1
10.182.16.125,10.53.192.20,49625,110,6,1048,SYN,1
10.14.31.104,10.159.107.145,34883,445,17,1488,FIN,0
10.193.174.201,10.235.225.173,13971,21,17,753,URG,0
10.51.250.91,10.85.247.174,42291,123,17,1295,PSH,0
10.127.169.147,10.250.199.8,63697,445,17,2956,PSH,0
10.143.2.38,10.131.218.141,24372,20,17,1234,FIN,0
10.58.20.179,10.73.64.35,56846,21,17,4744,RST,0
10.82.76.129,10.47.224.130,12324,110,6,246,PSH,0
10.175.5.214,10.127.232.8,7716,20,17,877,PSH,1
10.68.193.15,10.211.220.30,21551,110,6,4526,FIN,0
10.220.61.181,10.24.154.143,16053,445,17,3423,PSH,0
10.217.205.96,10.18.88.10,59036,23,6,1880,RST,1
10.176.125.61,10.196.19.178,48440,110,17,3588,UDP,0
10.117.146.99,10.13.40.240,39244,110,17,1344,FIN,0
10.230.109.250,10.118.143.212,9086,143,17,2612,PSH,0
10.216.237.1,10.226.192.75,27737,80,6,621,PSH,0
10.38.226.197,10.124.49.180,47654,123,6,3533,PSH,1
10.103.109.243,10.1.134.75,51479,25,17,4409,FIN,0
10.228.204.187,10.205.149.70,61245,110,17,482,URG,0
10.54.47.244,10.65.254.81,10463,445,17,2824,RST,0
10.36.79.242,10.93.140.165,35740,445,17,2274,PSH,1
10.155.117.143,10.125.120.61,54615,110,6,471,ACK,0
10.253.37.62,10.207.247.34,28466,3389,6,721,SYN,0
10.48.218.16,10.4.93.212,59923,53,6,2608,PSH,1
10.60.47.75,10.38.230.240,1837,21,17,105,FIN,0
10.164.175.188,10.93.85.40,20936,443,6,1784,SYN,1
10.166.171.214,10.96.127.3,20498,21,17,4119,PSH,0
10.38.1.232,10.0.150.162,29467,25,6,4980,PSH,1
10.75.0.136,10.164.178.71,25022,21,17,3093,ACK,0
10.109.76.200,10.181.222.172,61235,445,17,4848,SYN,0
10.153.154.159,10.97.247.213,11062,443,17,3581,ACK,0
10.119.16.220,10.20.115.179,13818,22,6,412,PSH,0
10.118.231.244,10.228.250.105,52467,23,6,865,FIN,1
10.126.104.113,10.245.187.165,61601,110,6,3299,RST,0
10.78.25.8,10.251.219.78,40856,20,17,1699,URG,0
10.234.21.218,10.41.92.63,22439,25,6,2987,FIN,0
10.24.130.198,10.157.225.115,28607,143,17,2270,RST,0
10.170.16.239,10.105.87.222,62999,21,6,1118,URG,1
10.48.38.121,10.216.36.199,37404,21,17,708,SYN,0
10.37.225.82,10.69.213.39,23470,443,6,4846,URG,0
10.11.13.86,10.226.215.192,40615,123,17,2475,ACK,0
10.247.50.106,10.139.147.17,21366,123,6,2416,URG,0
10.0.19.138,10.207.111.30,51118,110,6,4008,SYN,0
10.88.32.196,10.52.196.203,3905,80,6,4800,RST,1
10.244.236.137,10.10.199.94,17022,123,6,682,SYN,1
10.210.221.30,10.244.212.111,33804,443,6,4255,PSH,0
10.244.125.221,10.155.82.252,22078,110,17,1794,UDP,0
10.182.141.36,10.9.89.202,41255,23,6,4771,URG,0
10.82.14.37,10.115.204.255,10411,123,6,4350,SYN,1
10.87.217.169,10.231.35.182,7094,143,17,1291,FIN,0
10.133.35.128,10.7.103.233,27031,23,17,2414,UDP,0
10.43.124.209,10.32.87.91,16455,53,6,2415,UDP,1
10.64.217.243,10.185.120.245,7683,23,17,635,ACK,1
10.239.177.155,10.29.102.155,22401,443,6,3311,ACK,0
10.0.255.24,10.234.85.65,35399,8080,17,383,FIN,1
10.196.29.218,10.70.156.151,60450,23,6,726,PSH,0
10.14.214.114,10.67.33.251,30638,25,6,3188,FIN,0
10.82.152.206,10.137.227.81,24032,123,6,943,RST,1
10.250.66.27,10.143.90.5,51430,3389,17,4953,PSH,1
10.131.186.122,10.156.103.203,43677,123,17,4212,ACK,0
10.58.42.134,10.117.92.118,28364,80,17,113,PSH,1
10.14.214.217,10.187.240.226,49442,143,17,1586,SYN,1
10.255.193.182,10.139.192.232,14206,110,17,2490,SYN,0
10.49.170.91,10.122.108.254,31080,21,17,156,UDP,0
10.73.189.18,10.216.32.128,15713,20,17,4501,RST,1
10.8.120.25,10.72.151.106,50612,443,6,4166,ACK,1
10.130.15.47,10.18.54.57,27340,20,6,3372,ACK,1
10.204.61.33,10.40.157.26,23713,3389,6,3443,FIN,0
10.220.135.186,10.212.172.114,50050,3389,17,2290,ACK,0
10.138.157.0,10.223.151.227,22367,110,17,246,SYN,1
10.135.237.52,10.231.243.220,12561,443,17,4205,PSH,0
10.70.151.236,10.127.67.252,54554,22,6,630,SYN,1
10.142.181.74,10.97.23.115,6160,53,17,488,SYN,0
10.143.69.174,10.45.32.149,44790,53,17,1059,ACK,0
10.27.84.144,10.72.223.175,3630,80,17,3646,FIN,0
10.138.96.5,10.135.150.216,18339,80,6,3884,UDP,0
10.4.198.218,10.100.191.97,28732,21,17,924,UDP,1
10.14.22.163,10.85.214.70,57837,23,6,1097,FIN,1
10.67.175.202,10.5.18.107,40210,80,6,3681,URG,0
10.160.139.237,10.97.6.99,7810,143,17,4624,RST,0
10.64.249.100,10.12.168.140,61606,23,6,2199,UDP,0
10.43.26.117,10.221.36.218,18412,110,6,3189,ACK,0
10.95.135.163,10.171.97.24,46517,8080,6,2970,UDP,0
10.178.118.167,10.202.137.57,27327,20,17,2538,URG,0
10.51.252.242,10.190.7.75,60450,20,17,3567,ACK,0
10.13.71.177,10.32.153.186,34010,3389,17,1970,ACK,0
10.88.78.192,10.143.118.199,58475,80,6,3465,PSH,1
10.74.50.133,10.201.229.250,61602,123,17,4545,URG,0
10.23.173.206,10.106.67.22,11682,22,6,1240,FIN,0
10.26.80.255,10.208.33.234,22704,110,17,3078,URG,1
10.46.201.88,10.12.113.156,25167,23,6,3187,RST,0
10.180.12.85,10.80.69.67,18132,20,6,792,PSH,1
10.80.61.106,10.67.21.89,6724,20,17,221,RST,1
10.83.112.7,10.40.188.178,36196,20,17,1917,URG,0
10.212.142.157,10.196.151.6,26896,445,17,4299,SYN,0
10.55.64.28,10.128.63.221,25541,443,17,2063,SYN,0
10.122.225.48,10.86.240.125,58317,123,6,4242,ACK,1
10.77.239.202,10.146.224.107,60795,123,6,2230,RST,0
10.238.171.159,10.84.157.12,56164,25,17,3541,PSH,1
10.200.153.19,10.44.139.95,18461,110,17,1064,UDP,0
10.37.167.107,10.55.178.254,42359,143,6,3615,FIN,0
10.214.215.82,10.130.190.191,52766,8080,17,2633,UDP,0
10.44.51.226,10.31.198.113,52255,123,17,2407,RST,0
10.205.142.152,10.77.164.246,25212,53,17,1510,PSH,1
10.9.215.66,10.112.71.136,2546,445,6,2330,FIN,0
10.109.15.88,10.255.40.38,36569,443,6,4240,FIN,0
10.22.158.70,10.53.25.229,6672,143,17,1637,PSH,0
10.27.56.195,10.67.121.116,27724,80,17,2326,UDP,1
10.104.76.93,10.115.76.131,46127,445,6,2991,ACK,0
10.146.221.126,10.75.169.133,25681,445,17,4816,UDP,0
10.98.196.160,10.163.95.195,53530,53,6,3939,URG,0
10.141.59.62,10.74.176.221,14290,3389,6,3384,RST,0
10.88.190.201,10.170.81.139,53468,143,17,152,FIN,1
10.2.52.115,10.200.56.224,40493,80,17,2986,PSH,0
10.40.209.181,10.34.50.61,12494,22,6,383,URG,1
10.41.139.82,10.162.3.111,14657,80,6,1641,URG,0
10.8.211.134,10.213.96.14,21060,21,6,4878,ACK,0
10.72.98.194,10.128.84.218,35017,445,17,4544,ACK,0
10.141.153.29,10.35.133.78,61166,53,17,3286,SYN,0
10.79.198.221,10.12.249.183,47533,80,6,4041,SYN,1
10.20.190.235,10.66.125.195,21288,20,6,1559,RST,1
10.155.33.205,10.88.59.39,43746,143,17,4979,UDP,0
10.167.193.41,10.20.52.98,33177,23,17,1870,FIN,0
10.128.238.146,10.29.116.173,23077,23,17,2486,PSH,0
10.21.218.57,10.91.90.229,54613,123,6,4799,RST,0
10.206.81.94,10.84.158.190,31866,443,6,4184,ACK,0
10.221.102.121,10.63.119.164,50355,53,17,3875,RST,1
10.27.187.196,10.177.147.105,41098,80,17,3495,FIN,0
10.61.210.248,10.51.51.15,58914,25,6,3974,UDP,0
10.68.62.161,10.140.246.201,11428,25,6,776,UDP,0
10.135.23.145,10.122.153.161,40250,53,17,1185,RST,0
10.253.222.157,10.56.92.40,56243,53,17,3440,FIN,0
10.207.49.150,10.186.90.126,5390,25,6,1403,URG,1
10.220.60.217,10.110.114.62,23653,3389,6,2911,RST,1
10.95.162.128,10.101.247.167,26141,123,6,2940,UDP,1
10.33.231.254,10.58.243.72,11785,123,6,4235,ACK,0
10.210.190.72,10.149.91.34,27437,21,17,3372,PSH,0
10.120.2.173,10.204.211.241,54588,110,17,4392,ACK,1
10.218.167.174,10.12.116.36,32130,3389,6,2523,UDP,0
10.230.226.235,10.214.48.2,44814,53,17,1315,FIN,0
10.94.28.49,10.100.158.108,9098,80,6,3243,PSH,0
10.181.163.201,10.23.62.33,18276,23,6,2599,URG,1
10.138.17.197,10.108.34.179,38976,23,6,3652,URG,1
10.209.193.28,10.255.201.50,44973,53,6,177,SYN,1
10.125.163.130,10.11.78.92,16903,443,6,4318,UDP,0
10.156.218.101,10.147.221.83,51981,23,17,3888,PSH,0
10.93.106.79,10.143.77.98,46952,110,6,4923,ACK,1
10.144.243.56,10.253.211.90,53695,25,17,44,UDP,1
10.231.58.209,10.47.242.231,28971,443,17,2347,RST,0
10.53.138.163,10.153.5.86,22730,22,17,2544,FIN,0
10.241.125.37,10.206.171.168,16624,143,17,1633,RST,1
10.18.161.248,10.242.240.92,30563,23,17,2299,FIN,1
10.237.19.146,10.255.194.143,20937,445,6,1290,RST,0
10.194.55.222,10.6.154.122,30417,445,6,4823,PSH,0
10.249.20.84,10.162.140.36,3645,22,6,3088,UDP,0
10.17.75.67,10.14.70.225,10203,110,17,339,SYN,0
10.55.86.43,10.193.28.237,42832,3389,17,3756,URG,0
10.239.132.210,10.104.223.65,9801,21,17,3729,ACK,0
10.216.201.211,10.205.166.53,65498,123,17,4887,URG,0
10.23.61.96,10.103.68.39,54936,8080,6,4260,UDP,0
10.186.162.15,10.102.209.203,20305,21,17,4352,SYN,0
10.118.63.147,10.0.55.159,53310,80,6,1483,RST,0
10.190.224.67,10.61.147.145,26101,21,17,1693,FIN,0
10.44.20.202,10.36.13.57,8688,80,17,4361,PSH,0
10.97.253.24,10.158.95.81,61800,22,17,4386,PSH,0
10.243.113.246,10.140.242.13,37623,123,6,2685,URG,0
10.182.188.112,10.172.4.146,2479,443,17,197,RST,0
10.216.132.20,10.224.71.10,34664,22,17,3493,ACK,0
10.219.205.2,10.197.223.45,20476,143,17,4447,UDP,0
10.134.109.44,10.14.74.82,46270,443,17,3896,FIN,0
10.220.180.210,10.44.118.37,14390,8080,6,3298,RST,0
10.172.75.158,10.31.209.154,47339,443,6,126,UDP,0
10.111.243.137,10.217.131.84,49503,22,17,2765,URG,0
10.9.48.28,10.104.236.118,54028,8080,6,2409,ACK,0
10.125.161.248,10.143.147.24,14880,53,6,836,UDP,0
10.169.40.26,10.142.25.222,63833,53,6,2812,UDP,0
10.250.175.159,10.59.217.9,59803,20,17,3431,ACK,1
10.205.24.169,10.117.103.167,56401,123,17,1139,RST,0
10.249.31.31,10.180.15.161,33679,123,17,2007,PSH,1
10.168.113.104,10.167.138.255,25481,3389,6,342,FIN,1
10.217.203.101,10.227.53.89,30862,110,17,3122,FIN,0
10.230.148.180,10.8.220.252,62880,20,6,2745,SYN,0
10.186.158.237,10.146.243.116,50201,21,17,4964,UDP,1
10.68.226.1,10.123.141.205,13860,20,17,3808,ACK,0
10.79.150.29,10.76.225.179,18505,20,6,2322,URG,1
10.175.213.97,10.237.64.246,33810,25,6,4522,PSH,0
10.196.21.67,10.49.187.244,31133,80,6,4355,URG,0
10.28.74.52,10.173.72.38,25298,123,6,2309,URG,0
10.61.229.124,10.227.88.146,43807,80,17,3441,ACK,0
10.207.109.168,10.173.153.128,61288,8080,6,453,UDP,1
10.138.160.26,10.10.227.141,44103,23,6,377,SYN,0
10.147.224.133,10.178.183.43,37880,53,6,1795,PSH,0
10.125.119.44,10.227.20.222,49657,53,17,1022,URG,0
10.112.129.248,10.36.184.192,33777,3389,17,2146,FIN,0
10.114.9.96,10.247.161.123,44771,22,17,4875,FIN,0
10.74.170.251,10.86.116.194,43948,143,17,3739,PSH,0
10.255.217.39,10.70.152.218,26009,3389,6,4683,PSH,0
10.68.64.254,10.227.86.92,16299,23,17,3637,RST,1
10.170.145.26,10.130.9.132,43273,21,6,1402,UDP,0
10.179.220.29,10.211.244.171,26168,21,17,182,RST,0
10.217.178.243,10.119.177.202,33986,123,6,4044,ACK,0
10.195.208.91,10.106.84.64,22730,8080,6,981,UDP,0
10.150.221.136,10.133.224.134,32603,22,6,594,PSH,0
10.177.177.253,10.56.52.195,9090,25,17,4918,FIN,1
10.122.36.203,10.209.12.36,1935,123,17,514,UDP,0
10.95.30.226,10.124.194.74,63244,22,17,1953,ACK,0
10.147.160.192,10.177.185.116,18669,443,17,3218,FIN,0
10.14.209.156,10.3.13.85,28736,53,17,4282,RST,0
10.48.59.84,10.155.227.242,6625,22,6,2161,ACK,1
10.243.84.59,10.42.137.94,36852,20,17,1677,ACK,0
10.19.100.84,10.167.207.106,62400,110,6,1529,SYN,0
10.64.132.188,10.173.41.16,10892,110,6,3994,FIN,0
10.224.12.227,10.149.9.94,65036,21,6,255,RST,0
10.90.132.246,10.24.209.163,44090,20,17,3149,RST,0
10.127.208.111,10.220.148.253,64295,80,6,1260,UDP,1
10.224.12.90,10.156.251.118,16950,25,17,2550,RST,1
10.197.59.187,10.201.27.47,44308,80,6,4375,RST,1
10.82.118.88,10.35.105.89,28389,22,17,1108,RST,0
10.189.73.47,10.237.212.168,31998,23,6,2427,FIN,0
10.40.10.147,10.65.180.201,64088,53,17,4539,FIN,0
10.250.249.71,10.205.249.157,29630,143,6,229,RST,0
10.249.61.133,10.220.182.217,23346,53,6,205,SYN,0
10.251.2.10,10.4.112.131,33152,80,17,4844,RST,0
10.86.12.122,10.244.116.96,26535,443,6,2655,RST,1
10.126.237.196,10.193.147.229,61799,123,17,1700,PSH,0
10.82.6.55,10.9.215.127,34628,443,6,3941,SYN,1
10.177.59.53,10.51.255.85,59872,80,17,404,ACK,0
10.179.177.16,10.163.73.155,37847,110,6,624,ACK,1
10.156.250.139,10.230.246.82,18252,8080,17,142,UDP,1
10.12.123.50,10.95.158.172,45572,3389,17,2844,FIN,0
10.87.171.19,10.189.156.196,63910,143,6,315,URG,0
10.235.112.119,10.3.3.128,2970,8080,17,2881,FIN,0
10.189.45.174,10.93.61.191,37907,443,17,3396,FIN,1
10.132.82.241,10.130.55.117,52223,143,17,2094,ACK,0
10.201.239.217,10.189.104.60,59590,8080,17,3190,ACK,1
10.147.82.248,10.35.13.85,4324,21,17,3943,RST,0
10.108.150.180,10.95.53.223,12924,20,6,3576,RST,0
10.244.103.198,10.216.129.205,36147,143,17,237,RST,0
10.95.109.216,10.156.17.247,30181,3389,6,1972,ACK,1
10.142.76.121,10.109.77.125,5455,123,17,4022,PSH,0
10.204.34.7,10.113.12.183,55296,445,6,579,SYN,1
10.233.230.130,10.237.67.97,47472,3389,17,2663,PSH,1
10.119.112.41,10.6.182.160,63319,22,17,4629,PSH,0
10.133.37.165,10.226.69.67,14985,445,17,4119,URG,0
10.122.38.141,10.105.161.152,4288,8080,17,1458,UDP,0
10.37.176.89,10.128.71.52,33934,80,6,1675,UDP,0
10.46.47.160,10.91.199.14,42504,3389,6,822,RST,0
10.18.152.13,10.92.137.225,48032,8080,6,1717,ACK,0
10.102.125.148,10.82.198.213,19300,143,17,69,ACK,0
10.158.227.149,10.224.244.222,11638,21,17,1318,URG,0
10.56.252.186,10.129.140.25,36656,20,6,1931,SYN,1
10.113.83.28,10.18.253.244,46897,20,6,3674,ACK,0
10.147.84.127,10.101.55.230,10151,143,6,1955,RST,0
10.141.155.16,10.63.253.24,10213,110,6,2777,SYN,1
10.89.244.174,10.236.31.91,30459,123,17,564,SYN,1
10.181.217.49,10.67.128.80,35883,3389,17,4240,URG,0
10.103.3.91,10.80.198.31,24064,20,17,4007,SYN,0
10.178.90.187,10.114.248.94,63898,23,17,1619,RST,0
10.241.237.44,10.5.252.52,56726,443,17,2303,SYN,0
10.111.231.188,10.252.51.196,12409,25,6,4299,RST,0
10.238.148.128,10.134.4.253,11371,445,17,2194,URG,0
10.164.177.192,10.160.213.209,18864,445,6,4442,UDP,0
10.132.37.222,10.42.215.25,16191,22,6,883,RST,1
10.37.35.68,10.157.44.118,25734,20,6,4510,RST,0
10.9.197.77,10.24.213.215,17526,123,17,4180,URG,0
10.246.213.205,10.151.39.67,10955,8080,17,235,RST,1
10.27.5.243,10.182.0.40,62260,22,17,3443,RST,0
10.150.68.210,10.140.135.234,47557,123,6,1743,UDP,0
10.101.157.113,10.8.173.158,14481,20,17,3064,SYN,0
10.198.169.228,10.55.148.135,55632,110,17,3729,FIN,1
10.154.180.137,10.115.91.225,46471,53,17,4802,FIN,0
10.44.171.141,10.163.250.235,30281,53,17,4877,PSH,1
10.183.104.181,10.15.20.205,2058,443,17,4934,RST,0
10.117.228.220,10.75.221.250,4074,53,17,3103,PSH,0
10.107.113.201,10.131.251.87,9511,25,6,4657,UDP,0
10.55.226.206,10.40.82.50,41872,25,6,1413,ACK,0
10.113.122.30,10.125.118.88,17903,443,6,3457,FIN,0
10.56.96.191,10.152.239.164,14770,21,17,3051,URG,0
10.105.33.199,10.28.130.83,15063,445,17,2493,FIN,0
10.98.221.253,10.2.59.201,63300,23,6,121,URG,1
10.53.58.104,10.202.121.49,22753,3389,17,577,ACK,0
10.169.81.159,10.166.101.35,25025,23,6,2372,SYN,0
10.36.99.96,10.77.210.228,40284,445,17,151,PSH,0
10.155.248.18,10.66.138.236,4255,3389,17,1152,FIN,1
10.118.59.82,10.142.230.56,3833,80,17,833,FIN,0
10.26.243.105,10.41.217.105,7468,21,17,938,UDP,0
10.47.73.61,10.176.250.232,61341,443,6,2033,FIN,0
10.117.149.136,10.156.85.112,37905,3389,17,4670,ACK,1
10.13.61.65,10.234.69.227,61708,143,17,4656,FIN,1
10.109.8.151,10.32.232.101,42443,25,6,3667,ACK,1
10.214.237.195,10.126.82.25,49657,21,17,115,SYN,1
10.232.10.46,10.228.49.245,8692,443,17,3069,ACK,0
10.147.81.216,10.147.63.64,2448,110,6,3070,FIN,0
10.204.86.14,10.34.217.112,30640,53,6,544,RST,1
10.187.245.242,10.218.107.244,64779,123,17,4817,UDP,0
10.246.28.29,10.37.229.175,61075,8080,17,4497,UDP,1
10.37.198.81,10.88.127.28,15564,3389,6,1137,RST,0
10.41.21.57,10.41.153.250,55842,23,17,2715,UDP,0
10.112.85.30,10.42.87.117,23715,23,17,2665,UDP,1
10.24.141.140,10.123.172.66,31230,8080,17,4001,SYN,0
10.79.243.83,10.62.5.121,44797,8080,17,185,SYN,0
10.216.27.111,10.18.84.178,41443,20,6,801,SYN,0
10.116.208.187,10.52.213.114,55098,110,17,1084,URG,0
10.97.191.149,10.78.9.34,53400,443,17,2121,SYN,0
10.16.88.42,10.74.132.61,25114,22,17,2406,SYN,0
10.147.235.36,10.176.234.145,53290,22,6,49,SYN,1
10.119.237.219,10.211.196.166,56107,143,6,3551,PSH,1
10.30.44.244,10.6.197.201,11632,110,17,4805,URG,1
10.145.202.37,10.34.197.137,45004,25,6,1516,URG,1
10.244.165.40,10.21.78.52,2434,21,17,1122,FIN,0
10.127.30.234,10.168.136.252,27153,80,6,4538,PSH,1
10.237.81.23,10.226.129.59,4169,80,6,3294,RST,0
10.146.112.57,10.137.63.244,53446,25,6,3209,FIN,1
10.188.13.164,10.88.49.138,49498,445,6,1509,SYN,0
