src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flags,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,label,feature_92
10.168.64.124,10.188.57.99,6618,21,1,2826,URG,4743.502,1548.671,7005.295,8674.686,531.199,2.151,1171.729,9467.765,2603.016,9915.92,6984.899,8106.228,3361.498,9816.944,6757.951,393.34,8865.236,4977.131,762.632,5951.597,9553.035,9840.287,2970.881,3294.3,191.327,6641.237,109.442,4443.045,3452.743,7221.434,5635.881,1928.876,1640.819,4259.144,6191.503,6035.909,3855.274,7799.081,8086.768,5892.423,719.341,3239.169,2512.533,231.976,6769.245,1108.686,7681.641,7275.502,406.464,1221.775,2173.674,6652.14,5974.247,5659.948,8013.205,6717.718,6504.532,5332.505,7234.782,4551.374,5765.391,5021.24,3193.447,8821.008,502.44,2516.171,6850.389,9214.42,9263.619,9594.012,9061.045,5650.949,6316.223,8048.187,575.728,1126.414,8089.326,8995.022,945.321,1504.182,2411.112,6294.569,6824.016,7922.524,5803.481,8402.673,9755.664,5854.462,8523.806,155.611,369.881,1,5013.8
10.80.27.158,10.145.30.230,45334,123,1,3689,FIN,7503.363,7438.66,9768.757,157.001,242.773,1373.192,1460.911,2450.749,2731.877,2618.45,472.814,6382.883,3007.533,9173.653,717.48,1780.884,8678.549,2641.814,4465.578,3333.489,6547.178,8272.216,1879.567,8251.908,4406.137,4912.958,3220.45,3988.652,4719.286,7976.028,796.082,8567.513,3160.762,5785.586,2460.297,4458.789,8236.441,4034.867,3131.42,9316.495,7686.237,9657.999,1867.459,6734.794,8086.439,6046.49,3048.39,5954.95,744.524,144.168,1620.212,9906.673,6052.031,4709.74,5199.808,3063.157,1326.091,5321.018,7683.737,9536.027,3747.089,2825.131,1713.277,2845.618,3229.856,2500.787,1680.724,4599.827,13.796,2253.571,4217.948,4035.489,6575.791,8702.545,5844.997,6960.774,8519.383,7655.314,8702.433,7538.859,9740.241,3001.665,5177.272,5970.136,8629.676,1709.424,4450.379,9785.233,3878.325,880.75,3034.47,1,311.897
10.41.193.129,10.188.209.192,1374,53,17,1123,URG,6013.385,480.229,3671.616,3626.01,2809.966,3016.337,1846.415,7467.993,8835.573,6021.044,2737.96,8196.103,2130.859,4948.852,7435.777,7384.919,3153.779,9565.237,2079.27,83.514,7849.586,2250.411,1961.776,4374.242,3451.146,2678.845,6985.963,9272.589,8338.533,5512.08,3758.544,1457.95,4439.702,2249.509,4470.007,7207.493,1041.118,7499.759,5625.245,5962.026,3158.136,8146.267,9692.174,736.824,4232.994,4488.06,9212.573,3609.319,7304.463,2005.355,5508.7,3653.762,6524.48,3709.679,1004.745,8056.373,7372.943,8051.807,2096.265,3016.632,8931.506,1538.263,5590.154,5956.926,9819.697,9814.752,5899.614,9387.196,4231.251,3895.48,6684.946,3407.262,1484.564,5147.067,4159.129,6480.329,5796.238,3929.292,9918.638,6100.078,8867.552,2995.275,9875.647,8436.565,8125.756,9669.993,8961.504,5880.105,5104.337,8831.841,3885.346,1,6240.571
10.86.91.145,10.93.164.236,37977,123,2,3996,ACK,8492.884,2150.634,5857.738,1029.92,4181.366,5384.399,3741.326,9981.46,1852.799,9649.961,9324.59,899.229,2721.308,4177.518,2579.69,7610.675,3754.302,1455.204,905.686,7562.174,4430.675,776.242,2108.041,277.571,150.621,9355.67,1227.718,50.65,3773.875,7277.072,7141.68,2951.693,17.148,7155.208,5078.132,5981.338,1356.397,4755.229,8603.494,9997.158,2959.464,1838.641,7954.696,2106.752,7723.222,7217.363,6874.315,6491.151,3447.595,3297.668,5719.162,6690.987,1711.31,1801.701,3112.626,4131.612,4272.069,8248.916,228.753,2522.682,9818.723,4006.786,3474.477,4781.629,3008.028,2181.131,5843.065,6892.72,5216.376,140.873,8836.953,6854.418,9635.219,2689.703,6806.903,6621.189,3991.338,6493.81,3015.188,1836.384,9757.53,6263.622,2968.47,9653.627,2564.33,2804.09,1740.313,7438.923,6202.878,5255.338,938.232,1,379.331
10.4.232.164,10.207.199.7,38439,80,1,3095,RST,5831.503,741.023,1517.358,6374.808,6216.416,5771.977,4030.095,3234.943,3666.624,7385.843,7083.425,8638.42,6239.794,4730.279,1094.399,8298.409,1807.902,9692.689,689.142,5251.28,7717.256,1580.43,206.449,676.738,9542.73,127.77,3104.625,6855.22,7689.654,3273.991,2770.182,4508.814,9035.9,3866.742,2425.496,5338.444,1475.386,4049.903,5402.83,7243.976,4305.07,5328.16,1688.279,4328.978,6052.199,1475.366,8771.319,4448.415,3155.167,4165.206,5240.289,3304.697,5364.62,7316.137,9101.917,37.366,1686.01,7926.013,9717.624,3437.383,2187.226,190.586,7159.471,1529.271,8817.453,7936.919,6415.32,1134.929,8172.705,113.761,1308.608,3282.064,4202.131,6123.051,983.592,5812.425,4918.211,97.888,8809.588,2801.12,5335.491,5124.268,8352.201,5607.162,2591.652,8757.021,636.66,5517.974,526.517,2139.032,6096.232,1,2861.74
10.70.24.41,10.246.118.242,61621,8080,6,137,URG,8215.571,1415.475,5614.702,1062.12,7371.447,6887.454,1649.157,6324.091,6705.265,8450.021,8395.548,568.699,1634.711,4866.189,4804.023,3223.537,5100.751,1232.606,5723.052,6749.272,1226.069,3517.824,2492.569,8538.585,2234.736,9819.38,5050.363,156.192,3105.401,8828.514,6557.458,5181.407,2881.691,8116.821,2026.376,4193.328,8024.55,1304.035,5022.722,4089.468,2069.606,4883.791,8236.334,4060.329,259.473,9820.401,1275.058,6659.994,5608.32,2097.66,4492.887,7726.654,4703.707,4286.963,6622.861,8969.396,540.858,8066.51,5164.031,8148.212,8557.896,5474.635,1615.842,2783.717,4189.905,2111.788,5794.628,680.926,2780.836,6905.3,8151.914,2536.979,7227.347,1469.395,3279.838,4075.348,6761.512,7758.388,1619.919,37.945,1843.106,8721.665,4243.691,5734.461,5292.896,4365.009,8227.569,2181.226,2487.985,4526.118,1595.321,0,3334.16
10.197.146.10,10.180.175.63,63461,445,17,1640,RST,3629.742,6000.499,7849.343,9293.081,2823.096,8993.959,4305.994,5482.268,6000.031,7114.51,6997.67,1253.153,1281.628,4244.896,7542.624,7443.163,5886.044,5309.364,1086.305,9425.08,5139.226,4813.877,1143.379,1855.813,4435.89,9726.234,454.246,9363.962,4837.339,7971.861,1256.668,6878.457,571.193,1472.746,7459.812,2944.369,623.558,3810.887,431.971,2065.054,7940.864,9396.264,3013.676,4258.92,7977.524,1340.796,7539.221,2048.294,8281.497,3889.642,4505.375,1387.598,7588.537,8731.063,1644.039,4807.377,8727.943,8978.857,3347.319,440.741,6175.993,395.21,7132.592,1869.814,693.218,1808.0,6931.324,804.416,3065.008,3731.823,2778.037,2635.183,6813.402,6454.665,8990.43,2265.209,8727.956,4373.961,2938.14,7244.189,8937.795,4756.364,6143.733,4464.605,7364.764,447.412,7504.28,9727.469,9520.125,766.413,1793.368,1,5633.47
10.151.51.80,10.143.237.242,38197,25,6,2401,UDP,312.983,1539.581,929.896,8291.093,7124.374,9266.108,7029.333,5846.43,2160.832,3289.764,5766.048,7141.276,9894.176,6112.998,8750.764,2517.514,4302.046,7496.708,2234.88,5040.542,152.386,4502.304,7870.347,3594.474,7336.236,3236.268,9947.085,8906.402,5317.099,8549.552,6245.766,7275.062,3947.985,8938.122,6514.499,292.908,1688.26,7958.232,6808.352,2905.833,2551.627,2040.118,3596.256,9292.315,5751.73,7518.348,7808.693,1251.849,5056.417,1452.123,4022.33,1522.451,1389.049,6381.999,4881.555,4680.33,2678.883,751.868,1365.698,3910.843,5842.202,5653.467,3047.915,7387.217,8027.321,2331.404,1625.972,6980.338,8411.294,8518.661,6097.694,5075.002,6295.529,9885.288,1772.631,8266.265,6682.22,405.616,5072.572,6955.412,5064.038,5853.686,3339.83,9357.831,3654.608,381.465,1754.56,5292.988,9451.836,4651.447,5821.955,1,5639.314
10.232.120.207,10.113.251.129,16107,443,6,4524,ACK,2141.883,6144.261,2359.709,6176.929,9066.896,964.375,9022.194,9499.472,148.497,2921.568,3256.254,5438.42,4056.39,3676.221,6199.136,5663.327,2600.763,8174.824,6098.972,1208.486,6960.674,166.799,6196.942,3232.32,652.71,3217.753,252.319,8636.49,5294.218,6.539,2947.972,5669.6,8791.804,3301.661,6804.911,4982.349,3934.36,7817.733,22.234,563.803,7925.851,8788.881,2902.164,1427.967,6564.912,6329.961,101.068,5302.863,696.859,7897.993,9662.817,2318.852,7528.644,6446.619,7399.51,4334.769,7778.889,6619.845,7074.396,8510.414,5759.722,8447.479,7478.864,7285.544,6046.442,3360.386,5250.557,816.121,7524.496,128.498,1021.966,7574.448,3824.23,1861.98,2624.938,949.755,664.129,670.502,3777.513,6251.47,1579.971,8851.416,7056.631,5483.492,2835.966,5806.609,8131.176,5015.229,9639.858,9057.805,619.349,0,381.248
10.189.169.43,10.44.150.250,12062,25,1,2679,SYN,5860.689,6410.541,1495.745,8896.423,6163.765,9480.688,6255.756,8839.998,9613.702,5849.658,625.345,3431.444,3568.303,5741.31,7057.381,9062.881,333.806,9068.101,7180.947,5665.628,7426.917,3803.724,6554.019,3958.057,2981.712,9696.014,4707.241,7609.613,1916.294,6847.073,1607.764,7547.946,121.037,4381.478,487.526,2864.746,8587.55,7825.142,8455.819,333.991,6411.245,1029.923,1572.028,1960.551,4091.189,5943.306,4309.298,4697.775,241.238,9801.537,312.26,633.115,4080.224,6390.319,3481.345,4617.218,840.811,7929.776,2391.906,1114.726,3502.469,9679.448,9007.741,820.952,6654.668,6513.631,1486.938,1918.82,731.899,9156.698,2894.667,1049.895,360.226,4591.408,8622.205,9823.704,5867.441,1473.3,9664.138,8881.781,3578.301,4081.535,4360.678,8544.032,3124.124,5315.207,5178.934,4233.781,964.354,6119.927,8880.605,0,1466.05
10.166.20.255,10.53.126.124,53101,443,6,1402,URG,5433.731,3105.143,4063.063,259.775,6478.989,1441.067,6660.491,7736.54,6411.039,6391.481,7857.42,8453.999,1990.305,5598.753,267.909,5576.975,9218.712,519.519,715.998,8590.278,6035.129,4080.395,5164.123,6461.924,473.97,9714.535,7424.85,5643.817,2415.499,9178.429,9249.846,1312.02,9135.027,9179.077,4249.199,4339.52,6167.985,3940.213,5540.788,6249.093,4108.334,8877.633,2710.477,6853.787,3141.754,4459.778,1653.959,3200.955,7295.232,1323.21,1341.147,2231.846,4716.34,2755.345,8734.366,1978.701,4394.446,8516.725,5758.189,7400.359,3511.959,3158.675,5330.649,5259.639,4588.997,5538.288,6703.123,2846.521,9482.905,9976.009,8931.551,6902.408,9719.749,3153.701,6202.012,1503.422,2706.594,3435.456,6714.144,6309.644,6456.723,9376.788,5964.912,9861.13,4602.331,1156.05,7164.274,5626.861,7469.984,4734.023,9787.319,0,2784.29
10.115.206.77,10.165.239.196,38021,22,17,2108,ACK,3778.428,2788.146,765.814,8525.135,490.981,9098.776,3814.34,5713.85,4029.144,2829.486,6163.505,6179.524,9742.138,62.155,2856.063,463.088,9254.373,2954.283,6323.241,6521.814,3135.39,773.756,692.092,5676.134,6997.468,4962.51,38.195,2465.115,5721.059,734.453,9264.61,5990.716,679.124,8255.332,6799.889,7590.791,5286.686,4499.629,5724.899,9706.402,9501.541,2888.7,651.096,6399.173,5159.147,5198.154,3817.807,1499.886,709.603,4681.345,6596.671,4333.121,8537.449,5462.282,4814.004,6298.089,4503.198,1501.072,5642.367,317.061,2314.808,7776.955,8409.877,4073.878,9013.904,7176.586,3091.933,6870.858,4998.018,999.91,4554.822,8560.547,3636.266,1625.188,177.099,8003.727,6749.499,5093.832,8330.014,2738.975,2670.606,6360.635,9450.675,4296.824,6164.269,8427.439,275.733,8970.267,444.505,846.336,5431.327,1,6043.243
10.25.51.19,10.245.230.204,53441,23,6,526,FIN,6252.078,7869.407,3520.68,8984.015,8432.166,1918.996,5893.016,3823.133,1832.496,1725.785,6569.64,2459.274,9559.926,3878.398,6525.107,2914.77,1954.891,620.924,2421.791,5969.635,8758.796,3935.546,4603.441,4259.858,1402.399,413.197,5361.161,9547.041,3530.168,7181.016,8631.701,9772.35,9612.044,2074.397,4735.33,5347.419,806.421,7926.474,2890.634,9740.88,9309.235,8340.617,9847.322,6087.083,2554.243,3268.671,4579.038,6075.965,5368.696,5275.84,4949.663,4676.004,2166.089,1475.63,8879.03,2146.985,9266.715,2440.389,9658.026,5483.909,9838.418,585.766,2455.143,5136.759,1106.932,7947.615,5576.221,7219.487,8984.308,6402.176,7963.71,9521.327,6380.565,3576.363,6337.237,5133.591,6969.293,1440.82,4151.718,1151.448,9914.468,8010.148,6468.01,6794.36,3864.377,7541.749,9113.97,9201.425,9339.638,6258.336,8441.599,1,9615.071
10.174.29.106,10.127.140.103,60770,123,6,1767,PSH,1525.159,7793.006,9164.207,7037.796,2413.429,7876.03,2763.698,1427.429,4916.881,1810.513,902.338,5634.128,3243.523,1413.962,5669.837,9584.282,7113.055,8402.244,1174.85,5706.921,6919.469,3413.149,8883.853,3852.811,7810.719,289.732,4411.831,4516.131,750.895,2349.023,7557.213,1218.798,142.775,7551.609,3267.028,2212.309,9829.824,3185.443,9391.2,3941.655,5788.075,6972.175,599.341,7495.036,2814.017,472.682,9204.365,5642.305,493.441,1404.969,2631.414,8572.314,5214.026,6418.678,691.759,1927.913,2152.488,7074.128,9743.16,2156.222,8830.253,1399.284,1365.21,4718.99,7363.249,1464.749,3374.329,692.623,3168.819,1782.2,4662.274,4981.075,2185.966,4433.639,8394.81,6999.57,2830.665,7143.532,3346.278,1411.27,9446.301,448.721,903.127,5462.114,4614.54,1952.221,8843.619,695.384,8110.739,2281.658,553.822,0,7049.788
10.73.203.0,10.6.247.231,32935,110,17,2865,FIN,9700.088,2225.225,8759.389,2201.821,2514.405,2934.155,7201.091,8444.634,6040.329,9904.463,9515.018,9382.288,9254.831,5679.967,8802.395,1331.233,11.011,8551.132,1168.478,3858.394,34.112,3666.957,676.448,1965.986,2324.417,9867.704,6770.905,8342.073,6939.544,6298.995,7823.459,5669.768,7336.546,1661.31,8286.313,11.771,4605.379,7753.247,4719.323,3433.622,3712.684,2973.657,640.181,9728.347,4024.512,1329.374,6663.908,3801.12,7571.886,5771.69,8214.709,9563.058,3234.674,8703.834,3934.062,3771.664,492.943,6398.155,6413.972,583.877,4122.731,5837.192,6085.539,12.108,8453.93,1821.772,1759.19,3433.021,1041.972,6041.952,9623.524,423.096,9176.996,9644.377,3930.601,7523.072,6860.66,9924.732,597.802,1803.665,8505.965,4224.204,1746.044,6799.913,6307.693,2873.791,9878.667,3426.445,3334.898,1822.674,4896.198,0,6371.923
10.117.56.9,10.136.126.168,9954,443,1,2195,PSH,8319.119,3386.427,7354.817,3332.485,9108.908,3679.001,6222.264,3548.561,3001.604,249.75,1906.936,2033.439,368.5,9155.991,403.245,8138.981,2766.156,9251.989,6313.509,1152.871,4773.517,6162.491,726.179,7889.719,2864.698,7736.998,3009.814,7146.835,9924.356,4018.0,5871.61,3817.116,7675.261,1883.496,6927.211,7718.511,849.351,6559.536,2765.477,7864.395,7375.271,4601.218,5976.046,2714.42,53.98,7287.494,5309.111,7587.587,5726.11,2228.876,4013.222,377.817,8590.341,1329.065,373.18,6762.432,9120.159,9290.607,3168.994,5931.107,3600.214,6331.669,2961.758,9280.163,2313.532,927.549,2047.011,4906.275,5848.199,3255.43,9629.513,990.338,957.746,1004.585,2795.111,8971.278,8085.205,604.856,3325.727,9850.912,3043.497,5316.387,1788.814,3353.421,5698.66,7184.587,1679.574,663.678,3757.034,8248.501,3600.912,0,5969.813
10.242.148.7,10.129.170.77,19573,25,17,2616,ACK,5569.816,3062.667,7867.75,2503.74,1286.385,827.864,2363.648,9388.289,5006.017,4410.46,3217.305,2976.577,9974.244,5566.929,7987.076,6084.405,1310.998,2984.29,9164.416,3302.535,2567.154,7205.794,2240.396,4972.872,5433.046,6249.418,6641.92,2578.445,5302.213,2187.484,5854.142,1162.63,2892.647,102.572,8100.256,4175.666,7709.127,873.096,5156.715,8158.253,737.953,5143.002,462.823,1438.98,4935.356,1772.478,445.993,4911.963,9745.746,905.925,9332.376,1307.114,1669.718,5578.828,4001.739,4633.88,9187.259,4189.809,3606.7,2232.002,5584.069,8565.314,9515.951,2977.825,4230.422,432.417,9273.707,282.083,2940.939,5929.583,9711.07,8402.775,1103.416,6832.842,1256.752,3097.953,6865.932,7031.212,7029.522,1157.948,6604.602,862.8,4360.831,994.162,7242.101,5107.146,6927.1,663.096,6665.85,2807.037,2873.308,0,7073.643
